,Oil and LPG,Refined petroleum products,Natural gas,Coal and coal byproducts,,
1982–83,455.9,101.7,0.0,0.0,,
1983–84,331.2,97.2,0.0,0.0,,
1984–85,282.4,107.3,0.0,0.0,,
1985–86,239.4,105.6,0.0,0.0,,
1986–87,299.9,151.4,0.0,0.0,,
1987–88,371.7,123.7,0.0,0.0,,
1988–89,467.6,152.1,0.0,0.0,,
1989–90,451.2,174.4,0.0,0.0,,
1990–91,519.1,106.0,0.0,0.0,,
1991–92,594.5,82.3,0.0,0.0,,
1992–93,754.5,105.8,0.0,0.0,,
1993–94,789.5,108.7,0.0,0.0,,
1994–95,805.4,119.9,0.0,0.0,,
1995–96,927.8,115.9,0.0,0.0,,
1996–97,973.4,135.7,0.0,0.0,,
1997–98,981.0,90.1,0.0,0.0,,
1998–99,"1,163.3",137.7,0.0,0.0,,
1999–00,"1,055.7",157.3,0.0,0.0,,
2000–01,"1,035.8",154.2,0.0,0.0,,
2001–02,"1,071.9",151.4,0.0,0.0,,
2002–03,"1,090.1",191.8,0.0,3.7,,
2003–04,930.6,361.4,0.0,1.4,,
2004–05,"1,022.9",396.9,0.0,3.7,,
2005–06,961.1,507.0,48.6,5.7,,
2006–07,"1,001.0",494.5,217.7,4.7,,
2007–08,"1,040.9",635.9,205.6,2.2,,
2008–09,967.5,697.2,242.3,1.6,,
2009–10,"1,084.7",706.1,211.6,1.7,,
2010–11,"1,252.5",624.3,221.4,6.4,,
2011–12,"1,168.1",769.7,193.6,3.1,,
2012–13,"1,166.0",863.3,232.7,1.9,,
2013–14,"1,089.9",911.8,233.8,3.7,,
2014–15,964.0,"1,014.7",207.7,6.4,,
2015–16,787.5,"1,192.3",226.4,6.8,,
2016–17,813.8,"1,253.6",206.5,7.6,,
2017–18,887.9,"1,333.6",186.5,12.1,,
2018–19,862.1,"1,326.8",202.0,17.2,,
2019–20,715.5,"1,328.4",179.7,19.2,,
2020–21,563.9,"1,330.0",207.6,12.5,,
2021–22,407.1,"1,554.6",152.1,15.3,,
2022–23,382.7,"1,825.8",48.1,16.7,,
